iter	RMSE
0	10.70315934
1	10.23182771
2	9.782043971
3	9.352244781
4	8.945493688
5	8.564287561
6	8.196896666
7	7.862280544
8	7.536335152
9	7.227785458
10	6.934993653
11	6.665067895
12	6.403781035
13	6.157203131
14	5.918773679
15	5.703937934
16	5.501497504
17	5.304878091
18	5.121694281
19	4.949656396
20	4.784082391
21	4.628105925
22	4.489448931
23	4.35470977
24	4.227079661
25	4.106306784
26	3.996828058
27	3.886233505
28	3.788078389
29	3.697824893
30	3.612790736
31	3.534872172
32	3.460033065
33	3.379312947
34	3.314581847
35	3.248646387
36	3.194527329
37	3.141146283
38	3.079436632
39	3.035020292
40	2.988584242
41	2.945384928
42	2.909219848
43	2.875715441
44	2.826559242
45	2.798370298
46	2.765371949
47	2.72696787
48	2.70008503
49	2.667935359
50	2.647418656
51	2.628100706
52	2.60649405
53	2.569698617
54	2.554252029
55	2.537723423
56	2.512915825
57	2.492481859
58	2.480325542
59	2.46265569
60	2.440085383
61	2.421030763
62	2.399769133
63	2.388624579
64	2.377414196
65	2.366767684
66	2.353664007
67	2.338112065
68	2.323755711
69	2.310269665
70	2.305364425
71	2.296386811
72	2.280340223
73	2.259570873
74	2.243016342
75	2.230679278
76	2.217620607
77	2.203058276
78	2.184783499
79	2.172574477
80	2.161872723
81	2.151265346
82	2.137153604
83	2.125578362
84	2.116728531
85	2.104768113
86	2.085274571
87	2.075035279
88	2.065149886
89	2.053778527
90	2.048649528
91	2.042711591
92	2.028383531
93	2.02200978
94	2.013858847
95	2.005068684
96	1.989918412
97	1.983610657
98	1.977457559
99	1.968594949
100	1.957020335
101	1.950128289
102	1.943365666
103	1.934763502
104	1.928265505
105	1.91888244
106	1.916727482
107	1.910130644
108	1.902317884
109	1.891942777
110	1.888018415
111	1.88339981
112	1.876575654
113	1.870876518
114	1.867653259
115	1.865233905
116	1.859399671
117	1.856712736
118	1.85438373
119	1.84779204
120	1.842065383
121	1.840113295
122	1.835227737
123	1.831872873
124	1.826573798
125	1.824751459
126	1.820513267
127	1.815965625
128	1.804989591
129	1.8016524
130	1.799031922
131	1.793482495
132	1.790510109
133	1.789279153
134	1.778835842
135	1.775948775
136	1.774531225
137	1.773339174
138	1.768187682
139	1.764636189
140	1.759831816
141	1.759060635
142	1.757945004
143	1.752095627
144	1.750343358
145	1.747684093
146	1.746703925
