iter	Passed	Remaining
0	7	10708
1	13	9899
2	20	10008
3	26	10096
4	31	9441
5	37	9310
6	42	9036
7	47	8807
8	52	8752
9	57	8517
10	61	8288
11	65	8132
12	70	8009
13	74	7879
14	78	7739
15	82	7693
16	87	7613
17	91	7556
18	96	7487
19	100	7404
20	104	7354
21	108	7319
22	113	7274
23	118	7257
24	122	7238
25	127	7207
26	131	7185
27	136	7172
28	141	7159
29	145	7123
30	149	7096
31	154	7074
32	158	7040
33	163	7029
34	167	7027
35	172	7022
36	176	6988
37	180	6959
38	185	6946
39	190	6936
40	194	6922
41	198	6903
42	203	6894
43	208	6884
44	212	6867
45	216	6846
46	221	6849
47	225	6835
48	231	6840
49	236	6851
50	240	6843
51	245	6830
52	249	6815
53	254	6809
54	258	6793
55	263	6792
56	268	6788
57	272	6773
58	277	6773
59	282	6768
60	286	6766
61	291	6757
62	295	6751
63	301	6763
64	307	6781
65	312	6784
66	316	6778
67	322	6789
68	327	6787
69	331	6777
70	337	6794
71	342	6799
72	347	6801
73	352	6793
74	357	6794
75	363	6804
76	367	6799
77	372	6795
78	377	6789
79	382	6787
80	386	6775
81	391	6767
82	396	6765
83	400	6757
84	404	6741
85	409	6735
86	414	6731
87	418	6717
88	422	6699
89	426	6687
90	431	6675
91	434	6656
92	439	6647
93	443	6637
94	447	6621
95	451	6609
96	456	6596
97	459	6580
98	464	6573
99	468	6561
100	472	6544
101	476	6525
102	479	6508
103	483	6492
104	487	6476
105	491	6460
106	495	6444
107	499	6433
108	502	6416
109	506	6406
110	510	6393
111	515	6387
112	519	6381
113	523	6366
114	528	6359
115	532	6349
116	535	6334
117	539	6321
118	544	6313
119	548	6302
120	552	6293
121	556	6284
122	561	6283
123	565	6275
124	569	6261
125	573	6252
126	577	6241
127	581	6229
128	585	6217
129	588	6206
130	592	6195
131	596	6182
132	600	6170
133	604	6160
134	608	6150
135	612	6145
136	617	6143
137	621	6136
138	626	6130
139	630	6125
140	634	6116
141	651	6232
142	655	6222
143	659	6210
144	663	6201
145	667	6191
146	671	6181
