Year,GrandPrix,Round,Country,Location,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,DriverFullName,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,HasGreen,HasYellow,HasSafetyCar,HasRedFlag,HasVSC,HasVSCEnding,GapToLeader,IntervalToPositionAhead,GapToLeaderSeconds,IntervalToPositionAheadSeconds,TimeSeconds,LapTimeSeconds,PitInTimeSeconds,PitOutTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Sector1SessionTimeSeconds,Sector2SessionTimeSeconds,Sector3SessionTimeSeconds,LapStartTimeSeconds
2018,Belgian Grand Prix,13,Belgium,Spa-Francorchamps,0 days 00:21:14.350000,GAS,10,0 days 00:02:39.935000,1.0,1.0,,Pierre Gasly,0 days 00:21:09.867000,,0 days 00:01:17.731000,0 days 00:00:46.429000,,0 days 00:20:27.928000,0 days 00:21:14.351000,330.0,139.0,,297.0,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:18:34.162000,,124,8.0,False,,False,False,17.3,38.7,967.1,False,29.7,161,2.3,True,True,True,False,False,False,+9.955,+2.158,9.955,2.158,1274.35,159.935,1269.867,,,77.731,46.429,,1227.928,1274.351,1114.162
2018,Belgian Grand Prix,13,Belgium,Spa-Francorchamps,0 days 00:24:14.107000,GAS,10,,2.0,2.0,0 days 00:21:29.870000,Pierre Gasly,,0 days 00:00:57.215000,0 days 00:01:16.139000,0 days 00:00:46.385000,0 days 00:22:11.598000,0 days 00:23:27.723000,0 days 00:24:14.131000,196.0,102.0,119.0,208.0,False,SUPERSOFT,2.0,False,Toro Rosso,0 days 00:21:14.350000,,4,8.0,False,,False,False,17.3,38.1,967.1,False,29.7,140,3.3,False,False,True,False,False,False,+10.051,+1.782,10.051,1.782,1454.107,,,1289.87,57.215,76.139,46.385,1331.598,1407.723,1454.131,1274.35
2018,Belgian Grand Prix,13,Belgium,Spa-Francorchamps,0 days 00:27:03.124000,GAS,10,,3.0,2.0,,Pierre Gasly,,0 days 00:00:52.685000,0 days 00:01:13.781000,0 days 00:00:42.628000,0 days 00:25:06.716000,0 days 00:26:20.564000,0 days 00:27:03.177000,206.0,136.0,164.0,264.0,False,SUPERSOFT,3.0,False,Toro Rosso,0 days 00:24:14.107000,,4,8.0,False,,False,False,17.7,38.1,967.0,False,30.3,174,1.7,False,False,True,False,False,False,+8.357,+0.592,8.357,0.592,1623.124,,,,52.685,73.781,42.628,1506.716,1580.564,1623.177,1454.107
2018,Belgian Grand Prix,13,Belgium,Spa-Francorchamps,0 days 00:29:59.863000,GAS,10,,4.0,2.0,,Pierre Gasly,,0 days 00:00:50.239000,0 days 00:01:12.478000,0 days 00:00:54.030000,0 days 00:27:53.374000,0 days 00:29:05.878000,0 days 00:30:00.002000,262.0,104.0,219.0,276.0,False,SUPERSOFT,4.0,False,Toro Rosso,0 days 00:27:03.124000,,41,8.0,False,,False,False,18.3,36.2,967.1,False,29.9,171,3.0,True,False,True,False,False,False,+3.196,+0.409,3.196,0.409,1799.863,,,,50.239,72.478,54.03,1673.374,1745.878,1800.002,1623.124
2018,Belgian Grand Prix,13,Belgium,Spa-Francorchamps,0 days 00:31:53.376000,GAS,10,0 days 00:01:53.513000,5.0,2.0,,Pierre Gasly,,0 days 00:00:32.046000,0 days 00:00:51.437000,0 days 00:00:30.030000,0 days 00:30:31.910000,0 days 00:31:23.347000,0 days 00:31:53.377000,322.0,192.0,215.0,306.0,True,SUPERSOFT,5.0,False,Toro Rosso,0 days 00:29:59.863000,,1,8.0,False,,False,True,17.7,35.5,967.0,False,29.3,175,2.9,True,False,False,False,False,False,+8.016,+0.651,8.016,0.651,1913.376,113.513,,,32.046,51.437,30.03,1831.91,1883.347,1913.377,1799.863
2018,Belgian Grand Prix,13,Belgium,Spa-Francorchamps,0 days 00:33:46.245000,GAS,10,0 days 00:01:52.869000,6.0,2.0,,Pierre Gasly,,0 days 00:00:31.868000,0 days 00:00:51.071000,0 days 00:00:29.930000,0 days 00:32:25.245000,0 days 00:33:16.316000,0 days 00:33:46.246000,315.0,194.0,214.0,309.0,True,SUPERSOFT,6.0,False,Toro Rosso,0 days 00:31:53.376000,,1,8.0,False,,False,True,17.6,34.1,967.0,False,29.0,150,2.8,True,False,False,False,False,False,+11.946,+0.903,11.946,0.903,2026.245,112.869,,,31.868,51.071,29.93,1945.245,1996.316,2026.246,1913.376
2018,Belgian Grand Prix,13,Belgium,Spa-Francorchamps,0 days 00:35:38.485000,GAS,10,0 days 00:01:52.240000,7.0,2.0,,Pierre Gasly,,0 days 00:00:31.873000,0 days 00:00:50.474000,0 days 00:00:29.893000,0 days 00:34:18.119000,0 days 00:35:08.593000,0 days 00:35:38.486000,311.0,188.0,214.0,305.0,True,SUPERSOFT,7.0,False,Toro Rosso,0 days 00:33:46.245000,,1,8.0,False,,False,True,17.3,34.5,967.0,False,28.9,155,2.8,True,False,False,False,False,False,+15.468,+0.660,15.468,0.66,2138.485,112.24,,,31.873,50.474,29.893,2058.119,2108.593,2138.486,2026.245
2018,Belgian Grand Prix,13,Belgium,Spa-Francorchamps,0 days 00:37:30.671000,GAS,10,0 days 00:01:52.186000,8.0,2.0,,Pierre Gasly,,0 days 00:00:31.562000,0 days 00:00:50.864000,0 days 00:00:29.760000,0 days 00:36:10.048000,0 days 00:37:00.912000,0 days 00:37:30.672000,324.0,194.0,216.0,307.0,True,SUPERSOFT,8.0,False,Toro Rosso,0 days 00:35:38.485000,,1,8.0,False,,False,True,17.4,35.0,967.1,False,28.8,156,2.8,True,False,False,False,False,False,+19.162,+0.888,19.162,0.888,2250.671,112.186,,,31.562,50.864,29.76,2170.048,2220.912,2250.672,2138.485
2018,Belgian Grand Prix,13,Belgium,Spa-Francorchamps,0 days 00:39:23.092000,GAS,10,0 days 00:01:52.421000,9.0,2.0,,Pierre Gasly,,0 days 00:00:31.320000,0 days 00:00:51.122000,0 days 00:00:29.979000,0 days 00:38:01.992000,0 days 00:38:53.114000,0 days 00:39:23.093000,338.0,192.0,214.0,309.0,False,SUPERSOFT,9.0,False,Toro Rosso,0 days 00:37:30.671000,,1,8.0,False,,False,True,17.2,35.4,966.8,False,28.4,156,0.9,True,False,False,False,False,False,+22.542,+1.228,22.542,1.228,2363.092,112.421,,,31.32,51.122,29.979,2281.992,2333.114,2363.093,2250.671
2018,Belgian Grand Prix,13,Belgium,Spa-Francorchamps,0 days 00:41:14.958000,GAS,10,0 days 00:01:51.866000,10.0,2.0,,Pierre Gasly,,0 days 00:00:31.971000,0 days 00:00:50.021000,0 days 00:00:29.874000,0 days 00:39:55.064000,0 days 00:40:45.085000,0 days 00:41:14.959000,313.0,193.0,214.0,304.0,True,SUPERSOFT,10.0,False,Toro Rosso,0 days 00:39:23.092000,,1,8.0,False,,False,True,17.0,37.6,966.9,False,28.3,177,2.3,True,False,False,False,False,False,+25.735,+1.832,25.735,1.832,2474.958,111.866,,,31.971,50.021,29.874,2395.064,2445.085,2474.959,2363.092
