Year,GrandPrix,Round,Country,Location,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,DriverFullName,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,HasGreen,HasYellow,HasSafetyCar,HasRedFlag,HasVSC,HasVSCEnding,GapToLeader,IntervalToPositionAhead,GapToLeaderSeconds,IntervalToPositionAheadSeconds,TimeSeconds,LapTimeSeconds,PitInTimeSeconds,PitOutTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Sector1SessionTimeSeconds,Sector2SessionTimeSeconds,Sector3SessionTimeSeconds,LapStartTimeSeconds
2018,Canadian Grand Prix,7,Canada,Montréal,0 days 00:09:04.991000,GAS,10,0 days 00:02:07.960000,1.0,,,Pierre Gasly,,,0 days 00:00:46.776000,0 days 00:00:48.696000,,0 days 00:08:16.360000,0 days 00:09:05.146000,217.0,87.0,251.0,211.0,False,nan,,True,Toro Rosso,0 days 00:06:56.859000,,24,15.0,False,,False,False,19.9,28.6,1017.9,False,42.1,21,1.2,False,True,True,False,False,False,+27.964,+4.621,27.964,4.621,544.991,127.96,,,,46.776,48.696,,496.36,545.146,416.859
2018,Canadian Grand Prix,7,Canada,Montréal,0 days 00:11:10.058000,GAS,10,0 days 00:02:05.067000,2.0,1.0,,Pierre Gasly,,0 days 00:00:32.207000,0 days 00:00:46.572000,0 days 00:00:46.288000,0 days 00:09:37.200000,0 days 00:10:23.772000,0 days 00:11:10.060000,29.0,221.0,235.0,186.0,True,HYPERSOFT,1.0,True,Toro Rosso,0 days 00:09:04.991000,,4,15.0,False,,False,False,19.9,27.8,1017.9,False,41.5,349,1.0,False,False,True,False,False,False,+21.702,+1.949,21.702,1.949,670.058,125.067,,,32.207,46.572,46.288,577.2,623.772,670.06,544.991
2018,Canadian Grand Prix,7,Canada,Montréal,0 days 00:13:12.090000,GAS,10,0 days 00:02:02.032000,3.0,1.0,,Pierre Gasly,,0 days 00:00:40.685000,0 days 00:00:37.750000,0 days 00:00:43.597000,0 days 00:11:50.745000,0 days 00:12:28.495000,0 days 00:13:12.092000,41.0,150.0,208.0,213.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:11:10.058000,,4,15.0,False,,False,False,20.1,27.7,1017.9,False,41.2,355,1.2,False,False,True,False,False,False,+18.071,+1.368,18.071,1.368,792.09,122.032,,,40.685,37.75,43.597,710.745,748.495,792.092,670.058
2018,Canadian Grand Prix,7,Canada,Montréal,0 days 00:15:06.376000,GAS,10,0 days 00:01:54.286000,4.0,1.0,,Pierre Gasly,,0 days 00:00:36.619000,0 days 00:00:38.759000,0 days 00:00:38.908000,0 days 00:13:48.711000,0 days 00:14:27.470000,0 days 00:15:06.378000,76.0,114.0,288.0,274.0,True,HYPERSOFT,3.0,True,Toro Rosso,0 days 00:13:12.090000,,41,15.0,False,,False,False,20.0,28.2,1017.9,False,40.2,26,2.0,True,False,True,False,False,False,+5.882,+0.378,5.882,0.378,906.376,114.286,,,36.619,38.759,38.908,828.711,867.47,906.378,792.09
2018,Canadian Grand Prix,7,Canada,Montréal,0 days 00:16:27.711000,GAS,10,0 days 00:01:21.335000,5.0,1.0,,Pierre Gasly,,0 days 00:00:24.427000,0 days 00:00:25.988000,0 days 00:00:30.920000,0 days 00:15:30.805000,0 days 00:15:56.793000,0 days 00:16:27.713000,219.0,282.0,283.0,324.0,True,HYPERSOFT,4.0,True,Toro Rosso,0 days 00:15:06.376000,,1,13.0,False,,False,True,20.0,28.4,1017.8,False,40.1,18,0.9,True,False,False,False,False,False,+10.290,+0.723,10.29,0.723,987.711,81.335,,,24.427,25.988,30.92,930.805,956.793,987.713,906.376
2018,Canadian Grand Prix,7,Canada,Montréal,0 days 00:17:46.095000,GAS,10,0 days 00:01:18.384000,6.0,1.0,,Pierre Gasly,,0 days 00:00:22.113000,0 days 00:00:25.238000,0 days 00:00:31.033000,0 days 00:16:49.826000,0 days 00:17:15.064000,0 days 00:17:46.097000,249.0,280.0,284.0,317.0,True,HYPERSOFT,5.0,True,Toro Rosso,0 days 00:16:27.711000,,1,13.0,False,,False,True,20.0,28.2,1017.9,False,39.9,6,1.5,True,False,False,False,False,False,+12.365,+0.652,12.365,0.652,1066.095,78.384,,,22.113,25.238,31.033,1009.826,1035.064,1066.097,987.711
2018,Canadian Grand Prix,7,Canada,Montréal,0 days 00:19:03.968000,GAS,10,0 days 00:01:17.873000,7.0,1.0,,Pierre Gasly,,0 days 00:00:21.946000,0 days 00:00:25.013000,0 days 00:00:30.914000,0 days 00:18:08.043000,0 days 00:18:33.056000,0 days 00:19:03.970000,252.0,280.0,293.0,334.0,True,HYPERSOFT,6.0,True,Toro Rosso,0 days 00:17:46.095000,,1,13.0,False,,False,True,20.4,28.1,1017.8,False,40.5,28,3.7,True,False,False,False,False,False,+14.429,+0.425,14.429,0.425,1143.968,77.873,,,21.946,25.013,30.914,1088.043,1113.056,1143.97,1066.095
2018,Canadian Grand Prix,7,Canada,Montréal,0 days 00:20:22.135000,GAS,10,0 days 00:01:18.167000,8.0,1.0,,Pierre Gasly,,0 days 00:00:21.929000,0 days 00:00:25.013000,0 days 00:00:31.225000,0 days 00:19:25.899000,0 days 00:19:50.912000,0 days 00:20:22.137000,252.0,279.0,291.0,327.0,False,HYPERSOFT,7.0,True,Toro Rosso,0 days 00:19:03.968000,,1,13.0,False,,False,True,20.6,27.3,1017.8,False,40.1,359,2.0,True,False,False,False,False,False,+16.671,+0.594,16.671,0.594,1222.135,78.167,,,21.929,25.013,31.225,1165.899,1190.912,1222.137,1143.968
2018,Canadian Grand Prix,7,Canada,Montréal,0 days 00:21:39.491000,GAS,10,0 days 00:01:17.356000,9.0,1.0,,Pierre Gasly,,0 days 00:00:22.055000,0 days 00:00:25.044000,0 days 00:00:30.257000,0 days 00:20:44.192000,0 days 00:21:09.236000,0 days 00:21:39.493000,252.0,278.0,290.0,333.0,True,HYPERSOFT,8.0,True,Toro Rosso,0 days 00:20:22.135000,,1,12.0,False,,False,True,20.6,28.6,1017.7,False,39.7,356,2.6,True,False,False,False,False,False,+18.158,+1.053,18.158,1.053,1299.491,77.356,,,22.055,25.044,30.257,1244.192,1269.236,1299.493,1222.135
2018,Canadian Grand Prix,7,Canada,Montréal,0 days 00:22:57.655000,GAS,10,0 days 00:01:18.164000,10.0,1.0,,Pierre Gasly,,0 days 00:00:22.243000,0 days 00:00:24.966000,0 days 00:00:30.955000,0 days 00:22:01.736000,0 days 00:22:26.702000,0 days 00:22:57.657000,251.0,276.0,286.0,317.0,False,HYPERSOFT,9.0,True,Toro Rosso,0 days 00:21:39.491000,,1,12.0,False,,False,True,20.7,27.8,1017.8,False,39.2,358,3.5,True,False,False,False,False,False,+20.804,+1.141,20.804,1.141,1377.655,78.164,,,22.243,24.966,30.955,1321.736,1346.702,1377.657,1299.491
