Year,GrandPrix,Round,Driver,constructor,Compound,tyre_life,LapNumber,Position,actual_s,predicted_delta,predicted_s,residual,abs_error
2025,Abu Dhabi Grand Prix,24,ALB,Williams,SOFT,3.0,3.0,15.0,90.224,1.163351,90.77485105895997,0.5508510589599638,0.5508510589599638
2025,Abu Dhabi Grand Prix,24,ALB,Williams,SOFT,4.0,4.0,15.0,90.874,1.1567656,90.76826558017731,-0.1057344198226815,0.1057344198226815
2025,Abu Dhabi Grand Prix,24,ALB,Williams,SOFT,5.0,5.0,15.0,90.314,1.2262574,90.83775744342805,0.5237574434280532,0.5237574434280532
2025,Abu Dhabi Grand Prix,24,ALB,Williams,SOFT,6.0,6.0,15.0,90.223,1.1958045,90.80730447673798,0.5843044767379837,0.5843044767379837
2025,Abu Dhabi Grand Prix,24,ALB,Williams,SOFT,7.0,7.0,15.0,90.42,1.2365888,90.84808883571625,0.42808883571625245,0.42808883571625245
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,2.0,10.0,20.0,89.374,0.26368532,89.8751853158474,0.5011853158474082,0.5011853158474082
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,3.0,11.0,20.0,89.807,0.5041631,90.11566308641434,0.3086630864143416,0.3086630864143416
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,4.0,12.0,20.0,89.46,0.6211625,90.23266247415543,0.7726624741554389,0.7726624741554389
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,5.0,13.0,20.0,89.692,0.584912,90.19641200208665,0.5044120020866529,0.5044120020866529
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,6.0,14.0,19.0,89.793,0.6364347,90.247934674263,0.4549346742630007,0.4549346742630007
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,7.0,15.0,17.0,89.819,0.71463674,90.3261367430687,0.507136743068699,0.507136743068699
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,8.0,16.0,16.0,89.907,0.72849995,90.33999994897843,0.4329999489784342,0.4329999489784342
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,10.0,18.0,16.0,89.987,0.78908914,90.40058914327622,0.4135891432762264,0.4135891432762264
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,12.0,20.0,14.0,90.109,0.796409,90.40790901088715,0.29890901088715793,0.29890901088715793
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,13.0,21.0,14.0,90.27,0.80467516,90.41617516183854,0.14617516183854207,0.14617516183854207
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,14.0,22.0,13.0,90.298,0.7702793,90.38177928829194,0.08377928829193593,0.08377928829193593
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,15.0,23.0,13.0,90.621,0.8020342,90.41353419923783,-0.20746580076216503,0.20746580076216503
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,16.0,24.0,13.0,90.388,0.75533223,90.36683223152161,-0.02116776847839219,0.02116776847839219
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,17.0,25.0,14.0,90.934,0.78519225,90.39669225120545,-0.5373077487945466,0.5373077487945466
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,18.0,26.0,14.0,90.294,0.78167206,90.39317206048966,0.0991720604896642,0.0991720604896642
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,19.0,27.0,14.0,90.113,0.77157927,90.38307926559449,0.27007926559448947,0.27007926559448947
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,20.0,28.0,15.0,91.014,0.79583085,90.40733084583283,-0.6066691541671645,0.6066691541671645
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,21.0,29.0,15.0,90.422,0.7683017,90.37980172538758,-0.04219827461241721,0.04219827461241721
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,22.0,30.0,15.0,90.215,0.77907914,90.39057913923264,0.17557913923263868,0.17557913923263868
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,23.0,31.0,15.0,90.539,0.785084,90.39658400917054,-0.14241599082946266,0.14241599082946266
2025,Abu Dhabi Grand Prix,24,ALB,Williams,HARD,24.0,32.0,14.0,90.485,0.69062614,90.30212614440919,-0.18287385559081315,0.18287385559081315
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,2.0,35.0,20.0,88.588,-0.49537015,89.11612985038758,0.528129850387586,0.528129850387586
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,3.0,36.0,20.0,88.439,-0.4012407,89.21025929355622,0.771259293556227,0.771259293556227
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,4.0,37.0,20.0,88.411,-0.35611787,89.25538212561608,0.8443821256160788,0.8443821256160788
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,5.0,38.0,20.0,88.569,-0.25864714,89.35285285615922,0.7838528561592142,0.7838528561592142
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,6.0,39.0,20.0,88.87,-0.1642674,89.44723259413243,0.5772325941324254,0.5772325941324254
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,7.0,40.0,19.0,89.722,-0.23870228,89.37279771769047,-0.3492022823095198,0.3492022823095198
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,8.0,41.0,18.0,88.777,-0.26110715,89.35039285326005,0.5733928532600459,0.5733928532600459
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,9.0,42.0,18.0,88.845,-0.28168327,89.32981673383713,0.4848167338371354,0.4848167338371354
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,10.0,43.0,15.0,88.391,-0.5371586,89.07434139156342,0.6833413915634168,0.6833413915634168
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,11.0,44.0,15.0,88.507,-0.59324485,89.01825514936448,0.511255149364473,0.511255149364473
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,12.0,45.0,15.0,88.367,-0.5745211,89.03697887563706,0.6699788756370566,0.6699788756370566
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,13.0,46.0,15.0,88.517,-0.3842956,89.22720438742638,0.710204387426387,0.710204387426387
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,14.0,47.0,16.0,89.563,-0.24437998,89.36712001764775,-0.19587998235225257,0.19587998235225257
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,15.0,48.0,16.0,88.947,-0.1953077,89.41619229817391,0.4691922981739083,0.4691922981739083
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,16.0,49.0,16.0,89.29,-0.054118402,89.55738159769774,0.2673815976977352,0.2673815976977352
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,17.0,50.0,17.0,89.526,-0.027278554,89.58422144630552,0.05822144630552373,0.05822144630552373
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,18.0,51.0,17.0,89.42,0.015369269,89.62686926906557,0.2068692690655638,0.2068692690655638
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,19.0,52.0,17.0,89.393,0.0632866,89.67478660249711,0.28178660249710674,0.28178660249710674
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,21.0,54.0,16.0,88.752,0.15308015,89.76458015048505,1.01258015048505,1.01258015048505
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,22.0,55.0,16.0,88.785,0.24291433,89.85441433393956,1.0694143339395623,1.0694143339395623
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,23.0,56.0,16.0,89.061,0.30132443,89.91282442712784,0.8518244271278377,0.8518244271278377
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,24.0,57.0,16.0,89.103,0.27465582,89.88615581893922,0.7831558189392211,0.7831558189392211
2025,Abu Dhabi Grand Prix,24,ALB,Williams,MEDIUM,25.0,58.0,16.0,89.256,0.27465582,89.88615581893922,0.6301558189392154,0.6301558189392154
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,4.0,3.0,5.0,90.059,0.47319892,90.08469892048836,0.02569892048836664,0.02569892048836664
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,5.0,4.0,6.0,90.896,0.55387765,90.16537765169144,-0.7306223483085574,0.7306223483085574
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,6.0,5.0,6.0,90.196,0.52896947,90.14046946668626,-0.05553053331374258,0.05553053331374258
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,7.0,6.0,6.0,90.412,0.52526873,90.13676873350144,-0.2752312664985652,0.2752312664985652
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,8.0,7.0,6.0,90.319,0.54251367,90.15401366853715,-0.16498633146285613,0.16498633146285613
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,9.0,8.0,6.0,90.099,0.5761922,90.18769220018388,0.08869220018387125,0.08869220018387125
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,10.0,9.0,6.0,90.011,0.61836725,90.22986725473405,0.21886725473405022,0.21886725473405022
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,11.0,10.0,6.0,90.025,0.674972,90.28647199773789,0.26147199773788543,0.26147199773788543
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,12.0,11.0,6.0,89.8,0.6855962,90.29709622764588,0.49709622764588346,0.49709622764588346
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,13.0,12.0,6.0,89.969,0.820725,90.4322250237465,0.463225023746503,0.463225023746503
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,14.0,13.0,6.0,89.968,0.7270154,90.33851537609101,0.3705153760910065,0.3705153760910065
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,15.0,14.0,5.0,90.267,0.67755395,90.28905395174027,0.02205395174027558,0.02205395174027558
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,MEDIUM,16.0,15.0,5.0,89.836,0.6913933,90.30289331579209,0.4668933157920918,0.4668933157920918
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,3.0,18.0,14.0,89.993,0.3005168,89.91201681399346,-0.08098318600653442,0.08098318600653442
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,4.0,19.0,13.0,90.112,0.31845272,89.92995271587372,-0.18204728412626991,0.18204728412626991
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,5.0,20.0,12.0,90.107,0.3768845,89.98838449025155,-0.11861550974845159,0.11861550974845159
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,6.0,21.0,11.0,90.031,0.38975957,90.00125957036019,-0.029740429639815602,0.029740429639815602
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,7.0,22.0,11.0,90.321,0.38252556,89.99402556324006,-0.3269744367599401,0.3269744367599401
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,8.0,23.0,10.0,89.42,0.34690472,89.95840472483636,0.5384047248363544,0.5384047248363544
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,9.0,24.0,10.0,90.803,0.40503553,90.01653552556039,-0.7864644744396116,0.7864644744396116
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,10.0,25.0,10.0,90.26,0.32402453,89.935524528265,-0.32447547173499913,0.32447547173499913
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,11.0,26.0,10.0,89.824,0.33149022,89.94299021863938,0.1189902186393823,0.1189902186393823
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,12.0,27.0,9.0,89.75,0.1956882,89.80718820297719,0.057188202977187075,0.057188202977187075
2025,Abu Dhabi Grand Prix,24,ALO,Aston Martin,HARD,13.0,28.0,9.0,90.533,0.15234904,89.76384903991223,-0.7691509600877708,0.7691509600877708
