Location,progress_bin,ev_sc,ev_vsc,n,rate_sc,rate_vsc,p_sc_historical,p_vsc_historical
Austin,2-20,0,0,53,0.0,0.0,0.0,0.0
Austin,20-40,0,0,49,0.0,0.0,0.0,0.0
Austin,40-60,0,0,49,0.0,0.0,0.0,0.0
Austin,60-80,0,0,56,0.0,0.0,0.0,0.0
Austin,80-100,0,0,58,0.0,0.0,0.0,0.0
Baku,2-20,0,0,43,0.0,0.0,0.0,0.0
Baku,20-40,0,0,49,0.0,0.0,0.0,0.0
Baku,40-60,0,0,50,0.0,0.0,0.0,0.0
Baku,60-80,0,0,31,0.0,0.0,0.0,0.0
Baku,80-100,0,0,44,0.0,0.0,0.0,0.0
Barcelona,2-20,0,0,66,0.0,0.0,0.0,0.0
Barcelona,20-40,0,0,77,0.0,0.0,0.0,0.0
Barcelona,40-60,0,0,76,0.0,0.0,0.0,0.0
Barcelona,60-80,0,0,64,0.0,0.0,0.0,0.0
Barcelona,80-100,0,0,90,0.0,0.0,0.0,0.0
Budapest,2-20,0,0,69,0.0,0.0,0.0,0.0
Budapest,20-40,0,0,82,0.0,0.0,0.0,0.0
Budapest,40-60,0,0,81,0.0,0.0,0.0,0.0
Budapest,60-80,0,0,82,0.0,0.0,0.0,0.0
Budapest,80-100,0,0,91,0.0,0.0,0.0,0.0
Hockenheim,2-20,0,0,21,0.0,0.0,0.0,0.0
Hockenheim,20-40,0,0,21,0.0,0.0,0.0,0.0
Hockenheim,40-60,0,0,17,0.0,0.0,0.0,0.0
Hockenheim,60-80,0,0,20,0.0,0.0,0.0,0.0
Hockenheim,80-100,0,0,20,0.0,0.0,0.0,0.0
Imola,2-20,0,0,25,0.0,0.0,0.0,0.0
Imola,20-40,0,0,37,0.0,0.0,0.0,0.0
Imola,40-60,0,0,27,0.0,0.0,0.0,0.0
Imola,60-80,0,0,37,0.0,0.0,0.0,0.0
Imola,80-100,0,0,36,0.0,0.0,0.0,0.0
Istanbul,2-20,0,0,22,0.0,0.0,0.0,0.0
Istanbul,20-40,0,0,19,0.0,0.0,0.0,0.0
Istanbul,40-60,0,0,23,0.0,0.0,0.0,0.0
Istanbul,60-80,0,0,23,0.0,0.0,0.0,0.0
Istanbul,80-100,0,0,25,0.0,0.0,0.0,0.0
Jeddah,2-20,0,0,26,0.0,0.0,0.0,0.0
Jeddah,20-40,0,0,21,0.0,0.0,0.0,0.0
Jeddah,40-60,0,0,20,0.0,0.0,0.0,0.0
Jeddah,60-80,0,0,26,0.0,0.0,0.0,0.0
Jeddah,80-100,0,0,24,0.0,0.0,0.0,0.0
Las Vegas,2-20,0,0,5,0.0,0.0,0.0,0.0
Las Vegas,20-40,0,0,12,0.0,0.0,0.0,0.0
Las Vegas,40-60,0,0,8,0.0,0.0,0.0,0.0
Las Vegas,60-80,0,0,12,0.0,0.0,0.0,0.0
Las Vegas,80-100,0,0,4,0.0,0.0,0.0,0.0
Le Castellet,2-20,0,0,36,0.0,0.0,0.0,0.0
Le Castellet,20-40,0,0,42,0.0,0.0,0.0,0.0
Le Castellet,40-60,0,0,41,0.0,0.0,0.0,0.0
Le Castellet,60-80,0,0,45,0.0,0.0,0.0,0.0
Le Castellet,80-100,0,0,30,0.0,0.0,0.0,0.0
Lusail,2-20,0,0,18,0.0,0.0,0.0,0.0
Lusail,20-40,0,0,23,0.0,0.0,0.0,0.0
Lusail,40-60,0,0,23,0.0,0.0,0.0,0.0
Lusail,60-80,0,0,23,0.0,0.0,0.0,0.0
Lusail,80-100,0,0,18,0.0,0.0,0.0,0.0
Marina Bay,2-20,0,0,20,0.0,0.0,0.0,0.0
Marina Bay,20-40,0,0,17,0.0,0.0,0.0,0.0
Marina Bay,40-60,0,0,16,0.0,0.0,0.0,0.0
Marina Bay,60-80,0,0,18,0.0,0.0,0.0,0.0
Marina Bay,80-100,0,0,25,0.0,0.0,0.0,0.0
Melbourne,2-20,0,0,34,0.0,0.0,0.0,0.0
Melbourne,20-40,0,0,45,0.0,0.0,0.0,0.0
Melbourne,40-60,0,0,34,0.0,0.0,0.0,0.0
Melbourne,60-80,0,0,46,0.0,0.0,0.0,0.0
Melbourne,80-100,0,0,45,0.0,0.0,0.0,0.0
Mexico City,2-20,0,0,53,0.0,0.0,0.0,0.0
Mexico City,20-40,0,0,66,0.0,0.0,0.0,0.0
Mexico City,40-60,0,0,56,0.0,0.0,0.0,0.0
Mexico City,60-80,0,0,66,0.0,0.0,0.0,0.0
Mexico City,80-100,0,0,86,0.0,0.0,0.0,0.0
Miami,2-20,0,0,22,0.0,0.0,0.0,0.0
Miami,20-40,0,0,23,0.0,0.0,0.0,0.0
Miami,40-60,0,0,23,0.0,0.0,0.0,0.0
Miami,60-80,0,0,15,0.0,0.0,0.0,0.0
Miami,80-100,0,0,23,0.0,0.0,0.0,0.0
Monaco,2-20,0,0,28,0.0,0.0,0.0,0.0
Monaco,20-40,0,0,26,0.0,0.0,0.0,0.0
Monaco,40-60,0,0,30,0.0,0.0,0.0,0.0
Monaco,60-80,0,0,32,0.0,0.0,0.0,0.0
Monaco,80-100,0,0,18,0.0,0.0,0.0,0.0
Monte Carlo,2-20,0,0,36,0.0,0.0,0.0,0.0
Monte Carlo,20-40,0,0,44,0.0,0.0,0.0,0.0
Monte Carlo,40-60,0,0,41,0.0,0.0,0.0,0.0
Monte Carlo,60-80,0,0,44,0.0,0.0,0.0,0.0
Monte Carlo,80-100,0,0,59,0.0,0.0,0.0,0.0
Montréal,2-20,0,0,39,0.0,0.0,0.0,0.0
Montréal,20-40,0,0,49,0.0,0.0,0.0,0.0
Montréal,40-60,0,0,53,0.0,0.0,0.0,0.0
Montréal,60-80,0,0,47,0.0,0.0,0.0,0.0
Montréal,80-100,0,0,69,0.0,0.0,0.0,0.0
Monza,2-20,0,0,49,0.0,0.0,0.0,0.0
Monza,20-40,0,0,49,0.0,0.0,0.0,0.0
